./20170602064645052.png:   PNG image data, 15 x 14, 8-bit grayscale, non-interlaced
./20170602064800919.png:   PNG image data, 17 x 16, 8-bit grayscale, non-interlaced
./20170602064805428.png:   PNG image data, 54 x 54, 8-bit grayscale, non-interlaced
./20170602064848694.png:   PNG image data, 22 x 19, 8-bit grayscale, non-interlaced
./20170602064942972.png:   PNG image data, 21 x 20, 8-bit grayscale, non-interlaced
./20170602064945867.png:   PNG image data, 18 x 17, 8-bit grayscale, non-interlaced
./20170602065020396.png:   PNG image data, 33 x 32, 8-bit grayscale, non-interlaced
./20170602065121911.png:   PNG image data, 20 x 21, 8-bit grayscale, non-interlaced
./20170602065133985.png:   PNG image data, 23 x 23, 8-bit grayscale, non-interlaced
./20170602065159106.png:   PNG image data, 13 x 14, 8-bit grayscale, non-interlaced
./20170602065318558.png:   PNG image data, 36 x 35, 8-bit grayscale, non-interlaced
./20170602065341246.png:   PNG image data, 31 x 27, 8-bit grayscale, non-interlaced
./20170602065345768.png:   PNG image data, 46 x 46, 8-bit grayscale, non-interlaced
./20170602065450460.png:   PNG image data, 23 x 25, 8-bit grayscale, non-interlaced
./20170602065630184.png:   PNG image data, 19 x 19, 8-bit grayscale, non-interlaced
./20170602065720987.png:   PNG image data, 21 x 21, 8-bit grayscale, non-interlaced
./20170602065743589.png:   PNG image data, 13 x 15, 8-bit grayscale, non-interlaced
./20170602065852764.png:   PNG image data, 25 x 24, 8-bit grayscale, non-interlaced
./20170602065913504.png:   PNG image data, 28 x 26, 8-bit grayscale, non-interlaced
